searchTerms,title,snippet,link,rank
flights to hong kong,"$103 Flights to Hong Kong, China (HKG) - Tripadvisor","Book Cheap Flights to Hong Kong: Search and compare airfares on Tripadvisor 
to find the best flights for your trip to Hong Kong. Choose the best airline for you ...",https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html,1
flights to hong kong,Flights to Hong Kong (HKG) | Cathay Pacific,"Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with 
Cathay Pacific and experience award-winning service.",https://www.cathaypacific.com/destinations/en_US/flights-to-hong-kong,2
flights to hong kong,"Cheap Flights to Hong Kong SAR, Asia (HKG Airport) $407 in 2020 ...","Looking for cheap flights to Hong Kong SAR from airlines such as American 
Airlines, Delta, United, JetBlue, Frontier, and more? Compare prices on Expedia 
to ...",https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights,3
flights to hong kong,Cheap Flights to Hong Kong (HKG) from $487 - KAYAK,"Find flights to Hong Kong on China Eastern, Asiana Airlines, United Airlines and 
more. Fly round-trip from Chicago from $487, from Seattle from $502, from ...",https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG,4
flights to hong kong,$404 Cheap Flights to Hong Kong Intl in 2020 | Skyscanner,"Find cheap flights to Hong Kong Intl (HKG) in 2019 using Skyscanner's flight 
comparison tool. We compare all major airlines and travel agents for flights to 
Hong ...",https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-intl-airport.html,5
flights to hong kong,Cheap Flights to Hong Kong - Search Deals on Airfare to Hong ...,"Looking for cheap flights to Hong Kong from your destination? Search for airfare 
and flight ticket deals at cheapflights.com and book your next flight today.",https://www.cheapflights.com/flights-to-hong-kong/,6
flights to hong kong,Coronavirus: as travellers rush to beat quarantine measures on ...,"Mar 16, 2020 ... By Monday afternoon, no tickets were available for flights arriving from London 
before Thursday, when the Hong Kong government planned to ...",https://www.scmp.com/news/hong-kong/health-environment/article/3075402/coronavirus-travellers-rush-beat-quarantine,7
flights to hong kong,First People Fled Hong Kong. Now They're Rushing Back And ...,"Mar 14, 2020 ... Hong Kong's largest airline will add three flights to London, one each March 17-
19, and is deciding how to increase capacity to the United ...",https://www.forbes.com/sites/willhorton1/2020/03/14/first-people-fled-hong-kong-now-theyre-rushing-back-and-cathay-pacific-is-adding-flights-as-city-proves-safe-spot-in-coronavirus-outbreak/,8
flights to hong kong,suspended flights to China and Hong Kong,"Feb 11, 2020 ... American Airlines on Tuesday said it won't resume flights to mainland China and 
Hong Kong until late April, a month or two longer than previous ...",https://www.usatoday.com/story/travel/airline-news/2020/02/11/coronavirus-american-airlines-wont-resume-china-flights-until-april/4723966002/,9
flights to hong kong,Important travel notices | United Airlines,"Hong Kong: Travel restrictions. Citywide protests and strikes in Hong Kong may 
affect your travel plans. Please check your flight status at united.com or the 
United ...",https://www.united.com/ual/en/us/fly/travel/notices.html,10
flights to bangkok,"$30 Flights to Bangkok, Thailand (BKK) - Tripadvisor","Book Cheap Flights to Bangkok: Search and compare airfares on Tripadvisor to 
find the best flights for your trip to Bangkok. Choose the best airline for you by ...",https://www.tripadvisor.com/Flights-g293916-Bangkok-Cheap_Discount_Airfares.html,1
flights to bangkok,"$293 - Cheap Flights to Bangkok, Thailand in 2020 | Expedia","How much is the cheapest flight to Bangkok? Prices were available within the 
past 7 days and starts at $293 for one-way flights and $468 for round trip, for the ...",https://www.expedia.com/Cheap-Flights-To-Bangkok.d178236.Travel-Guide-Flights,2
flights to bangkok,$429 Cheap Flights to Bangkok in 2020 | Skyscanner,"Looking for cheap flights to Bangkok? Compare prices from hundreds of major 
airlines Delta, United, American, etc. & travel agencies for cheap Bangkok flights.",https://www.skyscanner.com/flights-to/bkkt/cheap-flights-to-bangkok.html,3
flights to bangkok,"Cheap Flights to Bangkok, Thailand - Search Deals on Airfare to ...","Looking for cheap flights to Bangkok, Thailand from your destination? Search for 
airfare and flight ticket deals at cheapflights.com and book your next flight ...",https://www.cheapflights.com/flights-to-bangkok/,4
flights to bangkok,Cheap Flights to Bangkok Suvarnabhumi Airport (BKK) - KAYAK,"Find flights to Bangkok on Japan Airlines, China Eastern, Asiana Airlines and 
more. Fly round-trip from Los Angeles from $458, from Chicago from $501, from ...",https://www.kayak.com/flight-routes/United-States-US0/Bangkok-Suvarnabhumi-other-airports-BKK,5
flights to bangkok,Cheap Flights To Bangkok Thailand | CheapOair,"Cheap Flights to Bangkok, Thailand (BKK) starting at $481 round trip. Search 
hundreds of airlines for the cheapest tickets to Bangkok, Thailand!",https://www.cheapoair.com/flights/cheap-flights-to-bangkok-bkk-thailand,6
flights to bangkok,$293+ Flights to Bangkok (BKK) | Orbitz,"Search cheap flights to Bangkok (BKK) today with Orbitz. Flights start at just $293. 
Book now!",https://www.orbitz.com/Cheap-Flights-To-Bangkok.d178236.Travel-Guide-Flights,7
flights to bangkok,Flights to Bangkok - Get United's Best Fares Today - United Airlines,"Find flights to Bangkok with United. Discover a modern travel experience 
featuring premium cabins and speedy Wi-Fi.",https://www.united.com/en-us/flights-to-bangkok,8
flights to bangkok,"Flights to Bangkok, Thailand : Best Fare Guarantee on Plane Tickets ...","Visit the beautiful capital of Thailand with Delta's flights to Bangkok. Explore the 
historic district and the modern elements around town.",https://www.delta.com/us/en/flight-deals/asia-flights/flights-to-bangkok,9
flights to bangkok,Cheap Flights to Bangkok (TH1) from $426 | momondo,"Our data shows that the cheapest Bangkok flights are usually those with 
afternoon departure times. evening flights are often costlier. Bangkok flight deals 
found on ...",https://www.momondo.com/flights/bangkok,10
flights to london,"$97 - Cheap Flights to London, England in 2020 | Expedia","Looking for cheap one way flights ($97) to London from airlines such as 
American Airlines, Delta, United, JetBlue, Frontier, and more? Compare prices on
 ...",https://www.expedia.com/Cheap-Flights-To-London.d178279.Travel-Guide-Flights,1
flights to london,"$41 Flights to London, United Kingdom (LON) - Tripadvisor","Book Cheap Flights to London: Search and compare airfares on Tripadvisor to 
find the best flights for your trip to London. Choose the best airline for you by ...",https://www.tripadvisor.com/Flights-g186338-London_England-Cheap_Discount_Airfares.html,2
flights to london,$214 Cheap Flights to London in 2020 | Skyscanner,"Search the cheapest flights to London with top airlines British Airways, Air France
, Virgin America and KLM. Book free today!",https://www.skyscanner.com/flights-to/lond/cheap-flights-to-london.html,3
flights to london,"Cheap London Flights, 2020 LHR Airfare @ $114 | Travelocity","Looking for cheap flights to London, England? Wander wisely with London (LHR) 
Airfare Deals from carriers such as American Airline, Delta & Frontier starting ...",https://www.travelocity.com/Cheap-Flights-To-London.d178279.Travel-Guide-Flights,4
flights to london,Cheap Flights to London (LON) from $278 - KAYAK,"Enter your preferred departure airport and travel dates into the search form above 
to unlock the latest London flight deals. Flights to London can land you in any ...",https://www.kayak.com/flight-routes/United-States-US0/London-LON,5
flights to london,Airlines Cut International Flights in Response to the Pandemic - The ...,"Mar 16, 2020 ... American said it would continue to operate one flight daily from Dallas and Miami 
to London and three flights per week between Dallas and Tokyo ...",https://www.nytimes.com/2020/03/16/travel/international-airlines-service-cuts-coronavirus.html,6
flights to london,"British Airways | Book Flights, Holidays, City Breaks & Check In Online","Save on worldwide flights and holidays when you book directly with British 
Airways. Browse our guides, find great deals, ... Introducing new US flights to 
London ...",https://www.britishairways.com/travel/home/public/en_us,7
flights to london,Find flights to London - American Airlines,"Find low-fare American Airlines flights to London. Enjoy our travel experience 
and great prices. Book the lowest fares on London flights today!",https://www.aa.com/en-us/flights-to-london,8
flights to london,"Cheap Flights to London, England - Search Deals on Airfare to ...","Find cheap flights to London from $268. Search and compare the best real-time 
prices for your round-trip, one-way, or last-minute flight to London.",https://www.cheapflights.com/flights-to-london/,9
flights to london,"Cheap Flights to London, (LON) Airline Tickets","Book Cheap Flights to London (LON) on CheapOair? Search hundreds of 
airlines for the cheapest tickets to London, United Kingdom. Use promo codes at
 ...",https://www.cheapoair.com/flights/cheap-flights-to-london-lon-united-kingdom,10
flights to singapore,"$350 - Cheap Flights to Singapore, Singapore in 2020 | Expedia","Looking for cheap one way flights ($350) to Singapore from airlines such as 
American Airlines, Delta, United, JetBlue, Frontier, and more? Compare prices on
 ...",https://www.expedia.com/Cheap-Flights-To-Singapore.d180027.Travel-Guide-Flights,1
flights to singapore,"$57 Flights to Singapore, Singapore (SIN) - Tripadvisor","Book Cheap Flights to Singapore: Search and compare airfares on Tripadvisor to 
find the best flights for your trip to Singapore. Choose the best airline for you by ...",https://www.tripadvisor.com/Flights-g294265-Singapore-Cheap_Discount_Airfares.html,2
flights to singapore,Cheap Flights to Singapore (SIN) from $478 - KAYAK,"Find flights to Singapore on Korean Air, Cathay Pacific, Philippine Airlines and 
more. Fly round-trip from Seattle from $478, from Los Angeles from $570, from ...",https://www.kayak.com/flight-routes/United-States-US0/Singapore-Changi-SIN,3
flights to singapore,Singapore Airlines Official Website | Book International Flight Tickets,"Book flight tickets from Singapore to international destinations with Singapore 
Airlines. Plan your holiday with our latest travel deals and promotions.",https://www.singaporeair.com/,4
flights to singapore,United's 18-hour flight to Singapore: 6 fast facts,"Nov 5, 2017 ... United Airlines' 18-hour flight to Singapore seems long, but it actually shaves 
hours off the traditional time. A trip costs nearly $600, and departs ...",https://www.cnbc.com/2017/11/03/uniteds-18-hour-flight-to-singapore-6-fast-facts.html,5
flights to singapore,$424 Cheap Flights to Singapore Changi in 2020 | Skyscanner,"Find cheap flights to Singapore Changi (SIN) in 2019 using Skyscanner's flight 
comparison tool. We compare all major airlines and travel agents for flights to ...",https://www.skyscanner.com/flights-to/sin/cheap-flights-to-singapore-changi-airport.html,6
flights to singapore,Cheap Flights to Singapore - Search Deals on Airfare to Singapore ...,"Find cheap flights to Singapore from $548. Search and compare the best real-
time prices for your round-trip, one-way, or last-minute flight to New York.",https://www.cheapflights.com/flights-to-singapore/,7
flights to singapore,Cheap Flights to Singapore Changi (SIN) from £341 Return ...,"Flights to Singapore. We compare all major airlines and travel agents for cheap 
Singapore flights. Search and Save now with Skyscanner.",https://www.skyscanner.net/flights-to/sin/cheap-flights-to-singapore-changi-airport.html,8
flights to singapore,Cheap Flights from USA to Singapore from $548 - Find Tickets ...,"Find airfare and ticket deals for cheap flights from USA to Singapore. Search 
flight deals from various travel partners with one click at Cheapflights.com.",https://www.cheapflights.com/flights-to-singapore/usa/,9
flights to singapore,Cheap Flights to Singapore (SIN) | Return Airfares to Singapore ...,"Looking for cheap flights to Singapore? Use Webjet to search for deals, compare 
airlines and find the best price for your next trip!",https://www.webjet.com.au/flights/singapore/,10
flights to macau,"$130 Flights to Macau, China (MFM) - Tripadvisor","Book Cheap Flights to Macau: Search and compare airfares on Tripadvisor to 
find the best flights for your trip to Macau. Choose the best airline for you by ...",https://www.tripadvisor.com/Flights-g664891-Macau-Cheap_Discount_Airfares.html,1
flights to macau,Cheap Flights to Macau (MFM) from $931 - KAYAK,"Enter your preferred departure airport and travel dates into the search form above 
to unlock the latest Macau flight deals. FAQs - booking Macau flights ...",https://www.kayak.com/flight-routes/United-States-US0/Macau-MFM,2
flights to macau,"Airlines That Fly to Macau, MFM | Skyscanner","To book a cheap flight to Macau, choose from the list of flights to Macau below, or 
use the links at the side of the page to browse for more flight information. To start
 ...",https://www.skyscanner.com/flights-to/mfm/airlines-that-fly-to-macau-airport.html,3
